Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q2,0.5566,35313
Q1,0.4107,32288
Q1,0.3148,34707
Q1,0.404,37123
Q3,0.7254,46856
Q2,0.4524,43005
Q1,0.2801,39575
Q4,0.6603,43978
Q4,0.7362,39944
Q4,0.7495,60438
Q4,0.5,36683
Q3,0.5128,38019
Q2,0.5138,61389
Q3,0.6932,44536
Q2,0.7389,43702
Q4,0.4247,28455
Q4,0.6383,42858
Q1,0.4914,42719
Q4,0.8407,63653
Q4,0.7652,38708
Q1,0.4659,35811
Q2,0.3759,41190
Q2,0.5045,35666
Q4,0.7373,44327
Q1,0.4508,37645
Q2,0.5981,44834
Q3,0.7267,43345
Q4,0.6478,49374
Q4,0.6117,45052
Q2,0.6818,32428
Q4,0.6538,43174
Q3,0.5754,41478
Q4,0.849,49745
Q3,0.5485,44068
Q2,0.5084,39114
Q3,0.5838,38794
Q4,0.9346,87824
Q3,0.6235,45441
Q2,0.4742,36888
Q4,0.6176,38686
Q3,0.5161,40483
Q2,0.5279,36024
Q4,0.5462,38839
Q4,0.8398,51355
Q4,0.7082,64777
Q4,0.7934,56932
Q2,0.504,42455
Q3,0.5756,36879
Q2,0.4348,33322
Q3,0.7226,48470
Q4,0.8525,54904
Q3,0.6841,44904
Q2,0.7212,37554
Q4,0.8444,55129
Q3,0.5659,55354
Q4,0.9256,42959
Q1,0.572,49475
Q3,0.9091,22088
Q4,0.6986,52531
Q3,0.542,39634
Q3,0.7428,42248
Q3,0.4463,33061
Q4,0.5868,45732
Q3,0.5211,40602
Q3,0.5856,39105
Q4,0.6526,51840
Q4,0.9009,66921
Q3,0.7251,35396
Q4,0.75,46993
Q4,0.8805,79832
Q2,0.4518,32971
Q3,0.4995,37816
Q2,0.6183,40559
Q2,0.1975,35298
Q1,0.5083,37752
Q2,0.712,41554
Q4,0.7066,36733
Q4,0.7871,42450
Q3,0.5635,41080
Q4,0.7397,52751
Q4,0.5488,31869
Q4,0.6945,47647
Q3,0.4607,36805
Q4,0.8128,53011
Q4,0.5084,42428
Q4,0.5085,27071
Q3,0.9554,80445
Q4,0.5737,28859
Q4,0.5472,33276
Q4,0.8056,77779
Q2,0.4315,48483
Q2,0.3617,48483
Q2,0.546,48483
Q4,0.8354,48483
Q3,0.5485,37493
Q4,0.7493,35476
Q4,0.6923,45758
Q2,0.4758,36406
Q4,0.625,49438
Q4,0.8091,61613
Q3,0.735,44550
Q4,0.8154,57562
Q3,0.6616,39453
Q3,0.5142,42269
Q2,0.6898,40673
Q3,0.7548,45206
Q3,0.9729,51200
Q3,0.7479,47659
Q3,0.4893,36809
Q4,0.6965,56267
Q4,0.7379,46527
Q3,0.45,30912
Q4,0.6466,50312
Q2,0.6526,44027
Q3,0.7542,46701
Q3,0.7123,39785
Q4,0.6535,53312
Q4,0.6391,51153
Q3,0.4953,31612
Q3,0.6523,45864
Q4,0.9525,60341
Q4,0.824,70109
Q4,0.6409,36268
Q4,0.4755,38892
Q4,0.8503,62565
Q1,0.459,40888
Q2,0.7061,51827
Q4,0.6867,51017
Q4,0.7592,47306
Q1,0.1905,22158
Q3,0.5717,34089
Q2,0.4434,34223
Q1,0.2821,23174
Q2,0.5421,34895
Q2,0.6568,40114
Q2,0.715,55124
Q3,0.4961,29867
